"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Lamia","MM","Large","monstrosity","chaotic evil","13 (natural armor)","97 (13d10 + 26)","30 ft.","16","13","15","14","15","16","","Deception +7, Insight +4, Stealth +3","","","","","darkvision 60 ft., passive Perception 12","Abyssal, Common","4 (1,100 XP)"," Innate Spellcasting. The lamia's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast the following spells, requiring no material components.At will: disguise self (any humanoid form), major image3/day each: charm person, mirror image, scrying, suggestion1/day: geas"," Multiattack. The lamia makes two attacks: one with its claws and one with its dagger or Intoxicating Touch. Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 14 (2d10 + 3) slashing damage. Dagger. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage. Intoxicating Touch. Melee Spell Attack: +5 to hit, reach 5 ft., one creature. Hit: The target is magically cursed for 1 hour. Until the curse ends, the target has disadvantage on Wisdom saving throws and all ability checks.","","","","","","","Desert"
"Lampad","MOT","Medium","fey","neutral evil","15 (natural armor)","52 (8d8 + 16)","30 ft.","12","13","14","11","12","18","","Deception +6, Intimidation +6","","necrotic","poison","charmed, frightened, poisoned","passive Perception 11","Common, Sylvan","3 (700 XP)"," Corpse Stride. Once on its turn, the lampad can use 10 feet of its movement to step magically into one creature's corpse within its reach and emerge from a second creature's corpse within 60 feet of the first corpse, appearing in an unoccupied space within 5 feet of the second corpse. Both corpses must be Medium or bigger. Innate Spellcasting. The lampad's spellcasting ability is Charisma (+6 to hit with spell attacks). It can innately cast the following spells, requiring no material components:At will: chill touch (see ""Actions"" below), gentle repose Magic Resistance. The lampad has advantage on saving throws against spells and other magical effects."," Multiattack. The lampad attacks twice with its necrotic touch or chill touch. Necrotic Touch. Melee Spell Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) necrotic damage. Chill Touch (Cantrip). Ranged Spell Attack: +6 to hit, range 120 ft., one creature. Hit: 9 (2d8) necrotic damage, and the target can't regain hit points until the start of the lampad's next turn. If the target is undead, it has disadvantage on attack rolls against the lampad until the end of the lampad's next turn.","","","","","","",""
"Large Mimic","RMBRE","Large","monstrosity (shapechanger)","neutral","12 (natural armor)","75 (9d8 + 18)","0 ft.","17","12","15","5","13","8","","Stealth +5","","","acid","prone","darkvision 60 ft., passive Perception 11","—","3 (700 XP)"," Shapechanger. The mimic can use its action to polymorph into an object or back into its true, amorphous form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies. Grappler. The mimic has advantage on attack rolls against any creature grappled by it. Adhesive (Object Form Only). The mimic adheres to anything that touches it. A Huge or smaller creature adhered to the mimic is also grappled by it (escape DC 13). Ability checks made to escape this grapple have disadvantage. False Appearance (Object Form Only). While the mimic remains motionless, it is indistinguishable from an ordinary object."," Multiattack. The mimic makes three attacks: two with its pseudopods and one with its bite. Pseudopod. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage. If the mimic is in object form, the target is subjected to its Adhesive trait. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 4 (1d8) acid damage.","","","","","","",""
"Large Mimic","WDMM","Large","monstrosity (shapechanger)","neutral","12 (natural armor)","67 (9d10 + 18)","15 ft.","17","12","15","5","13","8","","Stealth +5","","","acid","prone","darkvision 60 ft., passive Perception 11","—","2 (450 XP)"," Shapechanger. The mimic can use its action to polymorph into an object or back into its true, amorphous form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies. Grappler. The mimic has advantage on attack rolls against any creature grappled by it. Adhesive (Object Form Only). The mimic adheres to anything that touches it. A Huge or smaller creature adhered to the mimic is also grappled by it (escape DC 13). Ability checks made to escape this grapple have disadvantage. False Appearance (Object Form Only). While the mimic remains motionless, it is indistinguishable from an ordinary object."," Pseudopod. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage. If the mimic is in object form, the target is subjected to its Adhesive trait. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 4 (1d8) acid damage.","","","","","","",""
"Larva","DMG","Medium","fiend","neutral evil","9","9 (2d8)","20 ft.","9","9","10","6","10","2","","","","","","","passive Perception 10","understands the languages it knew in life but can't speak","0 (0 or 10 XP)",""," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.","","","","","","",""
"Lava Child","WDMM","Medium","humanoid (lava child)","neutral","11","60 (8d8 + 24)","25 ft., climb 20 ft.","18","13","16","11","10","10","","Athletics +6, Survival +2","","","fire; bludgeoning, piercing, and slashing from metal weapons","","darkvision 60 ft., passive Perception 10","Common, Ignan","3 (700 XP)"," Metal Immunity. The lava child can move through metal without hindrance, and it has advantage on attack rolls against any creature wearing metal armor or using a metal shield."," Multiattack. The lava child makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage. Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage.","","","","","","",""
"Lawmage","GGR","Medium","humanoid (any race)","lawful neutral","15 (breastplate)","84 (13d8 + 26)","30 ft.","13","12","14","17","14","13","Int +6, Wis +5","Arcana +6, Perception +5, Persuasion +4","","","","","passive Perception 15","Common plus any one language","6 (2,300 XP)"," Spellcasting. The lawmage is an 8th-level Azorius spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The lawmage has the following wizard spells prepared:Cantrips (at will): fire bolt, friends, light, message1st level (4 slots): alarm, expeditious retreat, shield2nd level (3 slots): arcane lock, detect thoughts, hold person3rd level (3 slots): clairvoyance, dispel magic, slow4th level (2 slots): locate creature, stoneskin"," Quarterstaff. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage, or 5 (1d8 + 1) bludgeoning damage if used with two hands.","","","","","","",""
"Lazav","GGR","Medium","monstrosity (shapechanger)","neutral evil","18 (natural armor)","204 (24d8 + 96)","40 ft.","16","24","18","22","20","22","Dex +13, Int +12, Wis +11, Cha +12","Deception +18, Insight +11, Perception +11, Stealth +19","","necrotic, psychic","poison","charmed, frightened, poisoned","darkvision 120 ft., passive Perception 21","Common, Thieves' cant","17 (18,000 XP)"," Elusive. No attack roll has advantage against Lazav unless he is incapacitated. Innate Spellcasting. Lazav's innate spellcasting ability is Intelligence (spell save DC 20). He can innately cast the following spells, requiring no material components:At will: detect thoughts, encode thoughts (see chapter 2), freedom of movement, vicious mockery (4d4 psychic damage)3/day each: blur, confusion, mirror image1/day each: modify memory, Rary's telepathic bond Legendary Resistance (3/Day). If Lazav fails a saving throw, he can choose to succeed instead. Psychic Defenses. Unless Lazav is incapacitated, he is immune to magic that allows other creatures to read his thoughts, determine whether he is lying, know his alignment, or know his creature type. Creatures can telepathically communicate with Lazav only if he allows it. Shapechanger Savant. Lazav can use a bonus action to polymorph into a Small or Medium humanoid he has seen. His statistics, other than his size, are the same in each form. Any equipment he is wearing or carrying isn't transformed."," Multiattack. Lazav makes three shortsword attacks. Shortsword. Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 10 (1d6 + 7) piercing damage plus 10 (3d6) psychic damage, and the target has disadvantage on the next attack roll it makes before Lazav's next turn.","",""," Attack. Lazav makes a weapon attack. Cast a Spell (Costs 2 Actions). Lazav casts one of his innate spells. Shifting Nightmare (Costs 3 Actions). Lazav rapidly takes the form of several nightmarish creatures, lashing out at all nearby. Each creature within 10 feet of Lazav must succeed on a DC 21 Dexterity saving throw or take 18 (4d8) damage of a type chosen by Lazav: acid, cold, fire, lightning, or necrotic.","","","",""
"Lemure","MM","Medium","fiend (devil)","lawful evil","7","13 (3d8)","15 ft.","10","5","11","1","11","3","","","","cold","fire, poison","charmed, frightened, poisoned","darkvision 120 ft., passive Perception 10","understands Infernal but can't speak","0 (0 or 10 XP)"," Devil's Sight. Magical darkness doesn't impede the lemure's darkvision. Hellish Rejuvenation. A lemure that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water."," Fist. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage","","","","","","",""
"Leonin Iconoclast","MOT","Medium","humanoid (leonin)","any alignment","17 (Unarmored Defense)","67 (9d8 + 27)","40 ft.","14","18","16","13","17","10","Dex +7, Wis +6","Arcana +4, Insight +6, Intimidation +3, Stealth +7, Survival +6","","","","","darkvision 60 ft., passive Perception 13","Common, Leonin","5 (1,800 XP)"," Evasion. If the leonin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails. It can't use this trait if it's incapacitated. Innate Spellcasting. The leonin's spellcasting ability is Wisdom (spell save DC 14). It can innately cast the following spells, requiring no material components:1/day each: banishment, detect evil and good Unarmored Defense. While the leonin is wearing no armor and wielding no shield, its AC includes its Wisdom modifier."," Multiattack. The leonin makes three weapon attacks. Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage plus 7 (2d6) force damage. Dart. Ranged Weapon Attack: +7 to hit, range 20/60 ft., one target. Hit: 6 (1d4 + 4) piercing damage.","","","","","","",""
